baseline,image_id,gt_category,gt_severity,gt_department,gt_description,pred_category,pred_severity,pred_department,pred_description,json_valid,raw_output,cat_correct,sev_correct,dept_correct,source_category,source_severity,source_department,source_description
Hybrid-LlamaCat-MistralSevDeptDesc,broken_9,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a while. The room itself is also in a poor condition, which is unacceptable for a healthcare facility. I'm worried about the safety and hygiene of the environment.",Broken Hospital Bed,high,Maintenance,"Patient reported a broken hospital bed in their room, along with a messy and run-down hospital environment.",True,"{""base_model_raw"": ""{\""category\"":\""Broken Hospital Bed\"",\""severity\"":\""medium\"",\""department\"":\""Maintenance\"",\""complaint_description\"":\""Patient reported a damaged hospital bed with visible signs of wear and tear, and also expressed concern about the overall condition of the room.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Broken Hospital Bed\"",\n  \""severity\"": \""high\"",\n  \""department\"": \""Maintenance\"",\n  \""complaint_description\"": \""Patient reported a broken hospital bed in their room, along with a messy and run-down hospital environment.\""\n}\n```""}",True,True,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,broken_1,Broken Hospital Bed,high,Maintenance,"I was shocked to see a broken hospital bed in one of the rooms, which is a serious concern for patient safety and comfort. The bed was clearly damaged and unusable, and the overall condition of the room was unacceptable. This is not the kind of environment I expect to see in a hospital.",Broken Hospital Bed,high,Facilities Management,"The hospital bed in one of the rooms appears to be broken or damaged, with visible signs of wear and tear. The surrounding area is also in disarray, suggesting that the room has been abandoned and vandalized.",True,"{""base_model_raw"": ""{\""category\"":\""Broken Hospital Bed\"",\""severity\"":\""medium\"",\""department\"":\""Maintenance\"",\""complaint_description\"":\""Patient reported a damaged hospital bed with visible signs of wear and tear, and the surrounding area is in disarray with graffiti on the walls.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Broken Hospital Bed\"",\n  \""severity\"": \""high\"",\n  \""department\"": \""Facilities Management\"",\n  \""complaint_description\"": \""The hospital bed in one of the rooms appears to be broken or damaged, with visible signs of wear and tear. The surrounding area is also in disarray, suggesting that the room has been abandoned and vandalized.\""\n}\n```""}",True,True,False,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,broken_4,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a long time. As a patient, I'm concerned about my safety and comfort. The hospital should provide a functional and clean bed for all patients.",Broken Hospital Bed,critical,Maintenance,"Patient reported a critically broken hospital bed with visible signs of wear and tear. The bed's frame is broken, posing a major safety risk for patients.",True,"{""base_model_raw"": ""{\""category\"":\""Broken Hospital Bed\"",\""severity\"":\""medium\"",\""department\"":\""Maintenance\"",\""complaint_description\"":\""Patient reported a damaged hospital bed with visible signs of wear and tear, including a broken frame, requiring repair or replacement for safety and comfort.\""}"", ""mistral_raw"": ""Output: {\n\""category\"": \""Broken Hospital Bed\"",\n\""severity\"": \""critical\"",\n\""department\"": \""Maintenance\"",\n\""complaint_description\"": \""Patient reported a critically broken hospital bed with visible signs of wear and tear. The bed's frame is broken, posing a major safety risk for patients.\""\n}""}",True,False,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,broken_21,Broken Hospital Bed,high,Maintenance,"I was assigned to a room with a broken hospital bed, which is unacceptable for a place of healing. The bed looks like it has been damaged for a while and it's surprising that it hasn't been replaced yet. This is a serious concern for patient safety and comfort.",Broken Hospital Bed,high,Maintenance,"Patient reported a broken hospital bed in their room, which appeared to be severely worn out with visible signs of damage. A blanket was draped over the bed.",True,"{""base_model_raw"": ""{\""category\"":\""Broken Hospital Bed\"",\""severity\"":\""medium\"",\""department\"":\""Maintenance\"",\""complaint_description\"":\""Patient reported a damaged hospital bed in their room with visible signs of wear and tear, and a blanket draped over it.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Broken Hospital Bed\"",\n  \""severity\"": \""high\"",\n  \""department\"": \""Maintenance\"",\n  \""complaint_description\"": \""Patient reported a broken hospital bed in their room, which appeared to be severely worn out with visible signs of damage. A blanket was draped over the bed.\""\n}\n```""}",True,True,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,crowded_6,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room was extremely crowded, with many patients forced to sit on the floor. This is not only uncomfortable but also unsanitary. The hospital should provide more seating and improve the waiting area conditions.",Crowded Hospital Waiting Room,medium,Administration,"Patients reported overcrowding in the waiting room, with some people sitting on the floor due to lack of available seating. Patients also expressed discomfort and concerns about cleanliness in the overcrowded waiting room.",True,"{""base_model_raw"": ""{\""category\"":\""Crowded Hospital Waiting Room\"",\""severity\"":\""medium\"",\""department\"":\""Administration\"",\""complaint_description\"":\""Patient reported overcrowding in the waiting room with insufficient seating, resulting in patients sitting on the floor and expressing concerns about cleanliness and comfort.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Crowded Hospital Waiting Room\"",\n  \""severity\"": \""medium\"",\n  \""department\"": \""Administration\"",\n  \""complaint_description\"": \""Patients reported overcrowding in the waiting room, with some people sitting on the floor due to lack of available seating. Patients also expressed discomfort and concerns about cleanliness in the overcrowded waiting room.\""\n}\n```""}",True,True,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,crowded_1,Crowded Hospital Waiting Room,medium,Administration,I visited the hospital for my appointment and was shocked to see the waiting room overcrowded with patients. The lack of seating and space made it uncomfortable for everyone. It seems like the hospital is not managing its patient flow efficiently.,Crowded Hospital Waiting Room,medium,Nursing,"Patient reported discomfort due to overcrowding in the waiting room, with limited seating available.",True,"{""base_model_raw"": ""{\""category\"":\""Crowded Hospital Waiting Room\"",\""severity\"":\""medium\"",\""department\"":\""Administration\"",\""complaint_description\"":\""Patient reported overcrowding in the hospital waiting room with limited seating, causing discomfort.\""}"", ""mistral_raw"": ""Output: {\n\""category\"": \""Crowded Hospital Waiting Room\"",\n\""severity\"": \""medium\"",\n\""department\"": \""Nursing\"",\n\""complaint_description\"": \""Patient reported discomfort due to overcrowding in the waiting room, with limited seating available.\""\n}""}",True,True,False,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,crowded_9,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room in such a state. Patients, including the elderly, were forced to sleep on the floor due to the lack of seating. This is unacceptable and highlights the need for better waiting area management.",Crowded Hospital Waiting Room,medium,Administration,The hospital waiting room is overcrowded with patients sleeping on the floor due to a lack of available seating.,True,"{""base_model_raw"": ""{\""category\"":\""Crowded Hospital Waiting Room\"",\""severity\"":\""high\"",\""department\"":\""Administration\"",\""complaint_description\"":\""Patient reported severe overcrowding in the hospital waiting room, with insufficient seating and patients forced to sleep on the floor.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Crowded Hospital Waiting Room\"",\n  \""severity\"": \""medium\"",\n  \""department\"": \""Administration\"",\n  \""complaint_description\"": \""The hospital waiting room is overcrowded with patients sleeping on the floor due to a lack of available seating.\""\n}\n```""}",True,True,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,crowded_19,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see how crowded the waiting room was. There were not enough seats for all the patients and their families, and the staff seemed overwhelmed. This made it difficult for me to get the help I needed in a timely manner.",Crowded Hospital Waiting Room,medium,Administration,Patient reported discomfort and difficulty getting help due to overcrowding in the hospital waiting room.,True,"{""base_model_raw"": ""{\""category\"":\""Crowded Hospital Waiting Room\"",\""severity\"":\""medium\"",\""department\"":\""Administration\"",\""complaint_description\"":\""Patient reported overcrowding in the hospital waiting room, citing discomfort and difficulty accessing assistance due to the high volume of people.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Crowded Hospital Waiting Room\"",\n  \""severity\"": \""medium\"",\n  \""department\"": \""Administration\"",\n  \""complaint_description\"": \""Patient reported discomfort and difficulty getting help due to overcrowding in the hospital waiting room.\""\n}\n```""}",True,True,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,dirty_sc_12,Dirty Hospital Bathroom,high,Housekeeping,"I was shocked to see the state of the hospital bathroom, it was extremely dirty and unhygienic. The bathroom had two sinks and a window, but the overall condition was unacceptable. This is a serious concern for patient health and safety.",Dirty Hospital Bathroom,high,Housekeeping,Patient reported severe unhygienic bathroom conditions with visible dirt. The bathroom has two sinks and a window but it's just not clean.,True,"{""base_model_raw"": ""{\""category\"":\""Dirty Hospital Bathroom\"",\""severity\"":\""medium\"",\""department\"":\""Housekeeping\"",\""complaint_description\"":\""Patient reported the hospital bathroom as unhygienic and dirty with visible dirt, despite having two sinks and a window, requiring immediate cleaning attention.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here's the JSON output:\n\n```json\n{\n  \""category\"": \""Dirty Hospital Bathroom\"",\n  \""severity\"": \""high\"",\n  \""department\"": \""Housekeeping\"",\n  \""complaint_description\"": \""Patient reported severe unhygienic bathroom conditions with visible dirt. The bathroom has two sinks and a window but it's just not clean.\""\n}\n```""}",True,True,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,dirty_sc_10,Dirty Hospital Bathroom,high,Housekeeping,"I was appalled by the condition of the hospital bathroom I visited, which was filthy and clearly hadn't been cleaned in a while. The toilet and urinals were dirty, and the whole area looked like it hadn't been disinfected. This is unacceptable for a healthcare facility.",Dirty Hospital Bathroom,critical,Housekeeping,"The hospital bathroom appears to be dirty and unhygienic, with visible dirt and grime on the toilet and urinals. The overall condition of the bathroom is unsanitary.",True,"{""base_model_raw"": ""{\""category\"":\""Dirty Hospital Bathroom\"",\""severity\"":\""high\"",\""department\"":\""Housekeeping\"",\""complaint_description\"":\""Patient reported the hospital bathroom to be in an unsanitary condition with visible dirt and grime on the toilet and urinals, creating an unhygienic environment.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Dirty Hospital Bathroom\"",\n  \""severity\"": \""critical\"",\n  \""department\"": \""Housekeeping\"",\n  \""complaint_description\"": \""The hospital bathroom appears to be dirty and unhygienic, with visible dirt and grime on the toilet and urinals. The overall condition of the bathroom is unsanitary.\""\n}\n```""}",True,False,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,dirty_5,Dirty Hospital Bathroom,high,Housekeeping,"I was appalled by the state of the hospital bathroom, which was filthy and clearly hadn't been cleaned in a while. The urinals and sink were clogged with dirt and grime, making it unusable. This is unacceptable for a healthcare facility.",Dirty Hospital Bathroom,critical,Housekeeping,Patient reported severe unhygienic bathroom conditions with visible dirt and grime affecting the urinals and sink.,True,"{""base_model_raw"": ""{\""category\"":\""Dirty Hospital Bathroom\"",\""severity\"":\""high\"",\""department\"":\""Housekeeping\"",\""complaint_description\"":\""Patient reported the hospital bathroom to be unhygienic with visible dirt and grime, particularly affecting the urinals and sink, making them unusable.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the valid JSON output:\n\n```json\n{\n  \""category\"": \""Dirty Hospital Bathroom\"",\n  \""severity\"": \""critical\"",\n  \""department\"": \""Housekeeping\"",\n  \""complaint_description\"": \""Patient reported severe unhygienic bathroom conditions with visible dirt and grime affecting the urinals and sink.\""\n}\n```""}",True,False,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,nursing_9,Empty / Unstaffed Nursing Station,critical,Nursing,"I visited the nursing station to ask for assistance, but there was no one available to help me. The station was completely empty, with no staff in sight. This lack of staffing is concerning and affects the quality of care.",Empty / Unstaffed Nursing Station,medium,Nursing,"Patient reported that the nursing station was empty and unstaffed, with no personnel present at the reception counter.",True,"{""base_model_raw"": ""{\""category\"":\""Empty / Unstaffed Nursing Station\"",\""severity\"":\""high\"",\""department\"":\""Nursing\"",\""complaint_description\"":\""Patient and visitor reported finding the nursing station unattended with no staff present to provide assistance or care.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Empty / Unstaffed Nursing Station\"",\n  \""severity\"": \""medium\"",\n  \""department\"": \""Nursing\"",\n  \""complaint_description\"": \""Patient reported that the nursing station was empty and unstaffed, with no personnel present at the reception counter.\""\n}\n```""}",True,False,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,nursing_22,Empty / Unstaffed Nursing Station,critical,Nursing,"I visited the hospital and was concerned to find the nursing station completely unstaffed. There was no one available to answer questions or provide assistance, which is unacceptable for a healthcare facility. This lack of staffing is alarming and raises concerns about patient care.",Empty / Unstaffed Nursing Station,medium,Nursing,Patient reported an empty and unstaffed nursing station with no medical personnel present to help or answer questions.,True,"{""base_model_raw"": ""{\""category\"":\""Empty / Unstaffed Nursing Station\"",\""severity\"":\""high\"",\""department\"":\""Nursing\"",\""complaint_description\"":\""Patient arrived at hospital to find nursing station unattended with no medical staff present to provide assistance or answer questions.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Empty / Unstaffed Nursing Station\"",\n  \""severity\"": \""medium\"",\n  \""department\"": \""Nursing\"",\n  \""complaint_description\"": \""Patient reported an empty and unstaffed nursing station with no medical personnel present to help or answer questions.\""\n}\n```""}",True,False,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,nursing_7,Empty / Unstaffed Nursing Station,critical,Nursing,"I visited the nursing station to ask for assistance, but there was no one available to help me. The station was completely empty and I was left waiting with no idea when someone would arrive. This lack of staffing is concerning and affects the quality of care.",Empty / Unstaffed Nursing Station,medium,Nursing,"Patient reported that the nursing station was empty and unstaffed, with no personnel present at the reception desk.",True,"{""base_model_raw"": ""{\""category\"":\""Empty / Unstaffed Nursing Station\"",\""severity\"":\""high\"",\""department\"":\""Nursing\"",\""complaint_description\"":\""Patient reported visiting the nursing station and finding it unstaffed with no personnel present at the reception desk, causing concern for patient care and support.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here is the JSON output:\n\n```json\n{\n  \""category\"": \""Empty / Unstaffed Nursing Station\"",\n  \""severity\"": \""medium\"",\n  \""department\"": \""Nursing\"",\n  \""complaint_description\"": \""Patient reported that the nursing station was empty and unstaffed, with no personnel present at the reception desk.\""\n}\n```""}",True,False,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,trash_11,Overflowing Hospital Trash (Outside),medium,Waste Management,I visited the hospital in a rural area and was appalled to see the trash bins outside overflowing with garbage. The area was littered with waste and had a strong unpleasant odor. This is a serious health concern and needs to be addressed immediately.,Overflowing Hospital Trash (Outside),medium,Waste Management,The trash bins outside the hospital are overflowing with garbage. The surrounding area appears to be littered with waste. The voice complaint also reported that the area smells bad.,True,"{""base_model_raw"": ""{\""category\"":\""Overflowing Hospital Trash (Outside)\"",\""severity\"":\""medium\"",\""department\"":\""Waste Management\"",\""complaint_description\"":\""Patient reported overflowing trash bins outside the hospital with surrounding litter and unpleasant odor.\""}"", ""mistral_raw"": ""Based on the image caption and voice complaint, here's the JSON output:\n\n```json\n{\n  \""category\"": \""Overflowing Hospital Trash (Outside)\"",\n  \""severity\"": \""medium\"",\n  \""department\"": \""Waste Management\"",\n  \""complaint_description\"": \""The trash bins outside the hospital are overflowing with garbage. The surrounding area appears to be littered with waste. The voice complaint also reported that the area smells bad.\""\n}\n```""}",True,True,True,llama,mistral,mistral,mistral
Hybrid-LlamaCat-MistralSevDeptDesc,trash_19,Overflowing Hospital Trash (Outside),medium,Waste Management,"I visited the hospital today and was appalled to see the trash bins outside overflowing with garbage. The smell and sight are unbearable, and it's a health concern for patients and visitors alike. The hospital should take immediate action to address this issue.",Overflowing Hospital Trash (Outside),medium,Waste Management,"Trash cans outside the hospital are overflowing with waste, creating an unsanitary and unpleasant environment for patients and staff.",True,"{""base_model_raw"": ""{\""category\"":\""Overflowing Hospital Trash (Outside)\"",\""severity\"":\""high\"",\""department\"":\""Waste Management\"",\""complaint_description\"":\""Patient reported overflowing trash bins outside the hospital, causing unpleasant odors and unsanitary conditions in the surrounding area.\""}"", ""mistral_raw"": ""Output: {\n\""category\"": \""Overflowing Hospital Trash (Outside)\"",\n\""severity\"": \""medium\"",\n\""department\"": \""Waste Management\"",\n\""complaint_description\"": \""Trash cans outside the hospital are overflowing with waste, creating an unsanitary and unpleasant environment for patients and staff.\""\n}""}",True,True,True,llama,mistral,mistral,mistral
